full_name,pdes,neo,pha,diameter,albedo,orbit_id
     1 Ceres (A801 AA),1,N,N,939.4,0.09,JPL 48
     2 Pallas (A802 FA),2,N,N,513,0.155,JPL 65
     3 Juno (A804 RA),3,N,N,246.596,0.214,JPL 139
     4 Vesta (A807 FA),4,N,N,525.4,0.4228,JPL 36
     5 Astraea (A845 XA),5,N,N,106.699,0.274,JPL 140
     6 Hebe (A847 NA),6,N,N,185.18,0.2679,JPL 115
     7 Iris (A847 PA),7,N,N,199.83,0.2766,JPL 134
     8 Flora (A847 UA),8,N,N,147.491,0.226,JPL 144
     9 Metis (A848 HA),9,N,N,190,0.118,JPL 142
    10 Hygiea (A849 GA),10,N,N,407.12,0.0717,JPL 119
    11 Parthenope (A850 JA),11,N,N,142.887,0.191,JPL 131
    12 Victoria (A850 RA),12,N,N,115.087,0.163,JPL 147
    13 Egeria (A850 VA),13,N,N,202.636,0.049,JPL 121
    14 Irene (A851 KA),14,N,N,152,0.159,JPL 109
    15 Eunomia (A851 OA),15,N,N,231.689,0.248,JPL 99
    16 Psyche (A852 FA),16,N,N,222,0.1203,JPL 91
    17 Thetis (A852 HA),17,N,N,84.899,0.193,JPL 143
    18 Melpomene (A852 MA),18,N,N,139.594,0.181,JPL 133
    19 Fortuna (A852 QA),19,N,N,200,0.037,JPL 160
